# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Coles,-37.9829,145.2137,supermarket,STANDALONE_PARKING,48,surface,1
Coles,-37.9923,145.172,supermarket,MALL,80,surface,1
Coles,-37.9866,145.2184,supermarket,MALL,105,multi-storey,3
Coles,-38.0686,145.1449,supermarket,MALL,39,surface,2
Coles,-37.9654,145.1731,supermarket,STANDALONE_PARKING,28,surface,3
Coles,-37.9841,145.0644,supermarket,STANDALONE,81,surface,3
Coles,-37.9453,145.0218,supermarket,STANDALONE_PARKING,46,surface,1
Coles Express,-37.967,145.1861,convenience,STANDALONE,382,surface,3
Colombo,-37.9845,145.2123,restaurant,STANDALONE_PARKING,55,surface,3
Colonial Corporate Cafe,-38.0359,145.1941,cafe,STANDALONE,100,surface,0
Como Parade Cafe,-37.9822,145.0646,cafe,STRIP,88,surface,9
Continental Mart,-37.9466,145.1536,convenience,STANDALONE,95,surface,2
Crust,-38.0057,145.0853,fast_food,STANDALONE_PARKING,23,underground,5
Crust,-37.9674,145.0554,fast_food,STANDALONE_PARKING,8,street_side,5
Crusty Pizza,-37.9825,145.2012,fast_food,STANDALONE,134,surface,1
Crystal Grill Chinese Restaurant,-38.0678,145.1427,restaurant,MALL,91,surface,5
Cucina Dolce,-38.0538,145.1164,restaurant,STRIP,98,surface,11
Cultural Commons,-37.9491,145.152,restaurant,STRIP,14,surface,9
Cô Thư Quán,-37.9512,145.1521,restaurant,MALL,77,surface,12
Cường Phát,-37.9717,145.149,supermarket,MALL,38,surface,11
Cố Đô 2,-37.9513,145.1528,restaurant,STANDALONE_PARKING,60,surface,3
Da Belcibo,-37.946,145.022,fast_food,STANDALONE_PARKING,36,surface,3
Dan Murphy's,-37.9976,145.0846,alcohol,MALL,62,surface,1
Dan Murphy's,-38.029,145.1328,alcohol,STANDALONE,90,surface,0
Dandenong Charcoal Chicken,-37.987,145.2149,fast_food,STANDALONE_PARKING,27,multi-storey,3
Dandenong IGA Plus Liquor,-37.9825,145.2026,supermarket,STANDALONE_PARKING,76,surface,4
Dandy,-37.9882,145.216,bakery,STANDALONE_PARKING,32,surface,4
Dandy Bahar Supermarket,-37.985,145.2122,supermarket,STRIP,58,surface,10
Dandy Supermarket & Halal Meat,-37.9856,145.2121,supermarket,STRIP,49,surface,7
Dandy West Fish & Chips,-37.9825,145.2013,fast_food,STANDALONE,127,surface,2
Daniel's Donuts,-37.9432,145.1165,fast_food,STANDALONE_PARKING,11,surface,2
Dao Vien 2,-37.9504,145.1424,restaurant,STANDALONE_PARKING,15,surface,1
Darakat Bakery,-37.9664,145.1744,bakery,STRIP,35,surface,13
Darokhshan Groceries,-37.9865,145.2123,convenience,STRIP,19,surface,12
Daton Groceries,-37.948,145.1507,greengrocer,STANDALONE_PARKING,50,surface,5
Daylight Bakery,-37.9869,145.2124,bakery,STRIP,47,surface,7
Deep Blue Fish & Chips,-37.9664,145.1769,fast_food,STANDALONE,93,surface,3
Deep Sea Fish,-37.9563,145.0577,fast_food,STANDALONE,221,street_side,3
Degani,-37.9701,145.0892,cafe,MALL,17,surface,3
Delhi Club,-37.9826,145.0718,restaurant,STANDALONE_PARKING,23,surface,0
Deli Works Cafe,-37.9489,145.0617,cafe,STANDALONE,390,surface,0
Derrick's Shop,-37.9857,145.2151,convenience,STANDALONE_PARKING,77,surface,4
Desi Tandoori Dhaba,-37.9683,145.1771,restaurant,STANDALONE_PARKING,27,surface,1
